,0,1
1,36.73,38.35
2,23.09,10.35
3,19.99,66.95
4,24.95,48.18
5,10.88,60.19
6,18.02,35.91
7,46.66,52.47
8,36.74,42.75
9,12.95,59.56
10,21.2,58.95
11,40.97,45.14
12,16.44,23.61
13,26.98,20.76
14,28.71,42.64
15,30.46,53.04
16,24.2,41.64
17,34.89,43.31
18,30.47,33.45
19,11.87,28.26
20,36.56,38.39
21,33.15,36.35
22,21.5,45.2
23,6.61,40.93
24,30.81,23.87
25,31.42,14.98
26,33.5,42.54
27,21.66,46.77
28,26.54,70.2
29,21.92,56.82
30,28.81,60.09
31,34.88,37.78
32,22.27,35.44
33,11.56,37.47
34,2.9,59.47
35,29.36,64.11
36,17.36,58.33
37,20.48,36.16
38,43.01,48.92
39,29.51,42.4
40,23.89,65.33
41,43.07,61.84
42,26.62,53.12
43,12.59,31.43
44,26.71,54.89
45,14.01,51.86
46,14.29,61.04
47,28.37,40.75
48,17.54,29.27
49,16.9,47.92
50,36.54,31.42
51,15.64,55.04
52,36.07,59.67
53,13.52,31.32
54,32.5,46.68
55,19.06,45.84
56,15.86,30.34
57,39.45,82.35
58,30.98,47.08
59,19.09,62.0
60,10.68,52.49
61,21.82,44.37
62,45.13,51.47
63,24.64,53.06
64,27.78,13.7
65,34.2,68.54
66,25.44,42.84
67,28.52,52.15
68,31.2,41.27
69,21.82,54.1
70,1.49,37.02
71,24.68,53.75
72,6.48,41.07
73,28.7,45.69
74,14.43,42.76
75,38.44,88.72
76,17.96,50.53
77,27.24,54.37
78,30.2,60.6
79,31.16,47.44
80,52.68,23.33
81,38.88,29.47
82,33.25,64.58
83,42.91,21.05
84,18.2,50.26
85,20.22,58.29
86,23.35,46.22
87,22.57,68.9
88,33.61,24.56
89,4.93,39.61
90,37.56,52.89
91,21.63,39.03
92,24.92,37.73
93,16.34,63.31
94,16.28,64.33
95,34.38,39.55
96,21.2,41.99
97,13.77,21.81
98,16.69,36.68
99,30.48,31.74
100,11.34,39.31
101,27.73,68.14
102,29.96,42.96
103,20.82,16.31
104,31.94,39.82
105,18.01,31.54
106,38.57,39.54
107,24.06,57.9
108,38.24,55.22
109,21.93,47.62
110,29.6,39.24
111,43.38,37.49
112,10.11,48.6
113,37.26,43.75
114,12.79,45.7
115,5.39,19.55
116,35.44,55.87
117,23.05,31.58
118,20.65,39.37
119,26.43,55.03
120,46.17,40.54
121,31.84,43.23
122,12.23,50.41
123,11.88,46.21
124,14.17,23.99
125,40.49,64.49
126,16.83,34.37
127,19.73,35.9
128,26.72,5.68
129,26.7,44.47
130,31.97,56.0
131,23.03,61.11
132,24.75,40.8
133,23.5,29.95
134,13.76,27.13
135,7.44,26.5
136,44.97,72.67
137,27.13,50.94
138,22.66,64.2
139,45.14,66.55
140,27.51,50.19
141,33.44,52.11
142,27.81,51.13
143,41.23,45.43
144,29.15,42.52
145,27.18,64.39
146,30.48,62.22
147,36.17,27.43
148,15.54,60.2
149,26.99,55.97
150,20.19,33.66
151,47.79,42.36
152,35.08,76.66
153,14.45,49.05
154,41.9,28.81
155,15.84,23.12
156,34.41,69.42
157,18.73,64.44
158,51.1,50.62
159,28.75,54.67
160,33.79,37.49
161,18.54,40.98
162,37.46,55.63
163,9.54,62.55
164,26.73,43.95
165,22.58,37.11
166,27.0,45.47
167,21.74,63.0
168,28.55,39.86
169,41.42,49.35
170,10.1,38.88
171,23.68,51.17
172,22.29,52.33
173,18.41,23.49
174,33.92,68.23
175,9.7,37.91
176,29.14,57.39
177,23.64,39.7
178,20.02,57.71
179,23.33,45.05
180,32.29,50.81
181,19.68,38.57
182,31.4,38.62
183,20.3,51.01
184,15.11,28.61
185,47.93,54.18
186,28.84,15.48
187,38.92,50.35
188,14.99,60.03
189,50.62,49.31
190,14.29,33.82
191,10.2,49.48
192,33.64,36.13
193,29.66,46.95
194,30.65,70.24
195,31.05,22.61
196,35.86,60.04
197,43.09,62.84
198,32.46,54.17
199,34.1,49.46
200,13.33,44.23
201,29.65,33.47
202,33.94,40.05
203,29.03,27.63
204,20.3,56.45
205,24.87,62.3
206,20.93,40.53
207,26.27,42.5
208,46.24,32.49
209,37.34,64.25
210,22.82,36.77
211,46.43,49.98
212,23.91,58.57
213,7.93,52.28
214,24.3,60.84
215,25.77,48.99
216,18.95,40.49
217,16.65,51.34
218,26.64,63.67
219,28.5,43.3
220,39.71,66.44
221,6.42,55.02
222,25.81,43.04
223,43.23,51.32
224,28.28,46.49
225,5.13,49.28
226,15.99,39.64
227,23.92,67.63
228,22.0,49.3
229,36.47,48.61
230,24.27,35.09
231,8.13,37.82
232,19.27,9.82
233,44.23,46.91
234,24.59,49.83
235,16.98,26.32
236,8.53,43.18
237,22.42,72.97
238,20.58,61.4
239,284.75,38.1
240,288.52,21.96
241,281.19,17.77
242,269.69,20.03
243,273.94,26.43
244,264.12,12.5
245,263.59,3.79
246,264.22,4.06
247,282.37,39.71
248,283.66,27.31
249,268.95,15.07
250,276.95,25.64
251,264.34,0.03
252,286.5,37.29
253,252.73,21.67
254,283.31,9.03
255,253.97,11.56
256,269.35,21.89
257,260.69,26.17
258,268.7,23.97
259,260.94,7.37
260,264.05,11.0
261,241.12,9.6
262,264.87,7.54
263,265.92,9.89
264,288.66,33.77
