Fuel Type Code,Station Name,Street Address,Intersection Directions,City,State,ZIP,Plus4,Station Phone,Status Code,Expected Date,Groups With Access Code,Access Days Time,Cards Accepted,BD Blends,NG Fill Type Code,NG PSI,EV Level1 EVSE Num,EV Level2 EVSE Num,EV DC Fast Count,EV Other Info,EV Network,EV Network Web,Geocode Status,Latitude,Longitude,Date Last Confirmed,ID,Updated At,Owner Type Code,Federal Agency ID,Federal Agency Name,Open Date,Hydrogen Status Link,NG Vehicle Class,LPG Primary,E85 Blender Pump,EV Connector Types,Country,Intersection Directions (French),Access Days Time (French),BD Blends (French),Groups With Access Code (French),Hydrogen Is Retail,Access Code,Access Detail Code,Federal Agency Code,Facility Type,CNG Dispenser Num,CNG On-Site Renewable Source,CNG Total Compression Capacity,CNG Storage Capacity,LNG On-Site Renewable Source,E85 Other Ethanol Blends,EV Pricing,EV Pricing (French),LPG Nozzle Types,Hydrogen Pressures,Hydrogen Standards,CNG Fill Type Code,CNG PSI,CNG Vehicle Class,LNG Vehicle Class,EV On-Site Renewable Source,Restricted Access,RD Blends,RD Blends (French),RD Blended with Biodiesel,RD Maximum Biodiesel Level
ELEC,Giant Eagle #43 - Pine Township,155 Towne Center Dr,,Wexford,PA,15090,,724-934-0155,E,,Public,24 hours daily,,,,,,1,,,Non-Networked,,200-9,40.632138,-80.054285,2022-10-11,42404,2023-02-14 15:54:11 UTC,P,,,2011-11-17,,,,,J1772,US,,,,Public,,public,,,GROCERY,,,,,,,,,,,,,,,,,false,,,,
ELEC,Eaton Corp,1000 Cherrington Pkwy,,Moon,PA,15108,,412-893-3300,E,,Public,6am-6pm daily,,,,,,2,,,Non-Networked,,GPS,40.492883,-80.200182,2022-08-10,42966,2023-02-14 15:54:11 UTC,P,,,2012-01-17,,,,,J1772,US,,,,Public,,public,,,OFFICE_BLDG,,,,,,,,,,,,,,,,,false,,,,
ELEC,GOOGLE PIT-BAK-3-02,6425 Penn Ave,,Pittsburgh,PA,15206,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,40.457724,-79.916569,2023-02-27,46452,2023-02-27 23:16:59 UTC,,,,2012-04-01,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,,,,,
ELEC,Rothrock Motor Sales,1648 Plaza Ln,Intersection of Route 22 and 15th Street.,Allentown,PA,18104,,610-439-8485,E,,Public - Call ahead,Dealership business hours,,,,,,3,,,Non-Networked,,200-9,40.620508,-75.503287,2020-06-09,47733,2023-02-15 22:45:41 UTC,P,,,2012-01-31,,,,,J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,false,,,,
ELEC,Courtesy Motor Sales,3100 Pleasant Valley Blvd,,Altoona,PA,16602,,814-944-2076,E,,Public - Call ahead,Dealership business hours,,,,,,1,,,Non-Networked,,200-9,40.487078,-78.401324,2020-06-09,47735,2023-02-15 22:45:41 UTC,P,,,2012-01-31,,,,,J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,false,,,,
ELEC,Ardmore Nissan,265 E Lancaster Ave,,Ardmore,PA,19003,,610-649-4400,E,,Public - Call ahead,Dealership business hours,,,,,,1,,,Non-Networked,,200-9,40.002954,-75.280533,2020-06-09,47737,2023-02-15 22:45:41 UTC,P,,,2012-01-31,,,,,J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,false,,,,
ELEC,Beaver County Nissan,2777 Constitution Blvd,,Beaver Falls,PA,15010,,724-846-1660,E,,Public - Call ahead,Dealership business hours,,,,,,1,,,Non-Networked,,GPS,40.780079,-80.390267,2020-06-09,47739,2023-02-15 22:45:41 UTC,P,,,2012-01-31,,,,,J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,false,,,,
ELEC,Fitzgerald Nissan,1436 Lincoln Way E,,Chambersburg,PA,17201,,717-264-3359,E,,Public - Call ahead,Dealership business hours,,,,,,1,1,,Non-Networked,,GPS,39.925539,-77.620844,2022-03-07,47741,2023-02-14 15:54:11 UTC,P,,,2012-01-31,,,,,CHADEMO J1772 J1772COMBO,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,false,,,,
ELEC,Conicelli Nissan,1222 W Ridge Pike,,Conshohocken,PA,19428,,610-825-4200,E,,Public - Call ahead,Dealership business hours,,,,,,3,1,,Non-Networked,,200-9,40.102996,-75.308253,2022-03-07,47745,2023-02-14 15:54:11 UTC,P,,,2012-01-31,,,,,CHADEMO J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,false,,,,
ELEC,Nissan of Devon,459 W Lancaster Ave,,Devon,PA,19333,,610-695-2900,E,,Public - Call ahead,Dealership business hours,,,,,,1,,,Non-Networked,,GPS,40.046627,-75.433254,2020-06-09,47747,2023-02-15 22:45:41 UTC,P,,,2019-11-16,,,,,J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,false,,,,
ELEC,Fred Beans Nissan - Doylestown,4469 W Swamp Rd,,Doylestown,PA,18902,,215-345-6900,E,,Public - Call ahead,Dealership business hours,,,,,,1,,,Non-Networked,,200-9,40.334144,-75.13824,2020-06-09,47749,2023-02-15 22:45:41 UTC,P,,,2012-01-31,,,,,J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,false,,,,
ELEC,Lancaster Nissan,5340 Manheim Pike,,East Petersburg,PA,17520,,717-569-1333,E,,Public - Call ahead,Dealership business hours,,,,,,1,1,,Non-Networked,,GPS,40.090978,-76.347247,2022-03-07,47751,2023-02-14 15:54:11 UTC,P,,,2012-01-31,,,,,CHADEMO J1772 J1772COMBO,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,false,,,,
ELEC,Interstate Nissan,8890 Peach St,,Erie,PA,16509,,814-860-8377,E,,Public - Call ahead,Dealership business hours,,,,,,1,,,Non-Networked,,200-9,42.030304,-80.062158,2020-06-09,47753,2023-02-15 22:45:41 UTC,P,,,2012-01-31,,,,,J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,false,,,,
ELEC,Exton Nissan,200 W Lincoln Hwy,,Exton,PA,19341,,610-594-7400,E,,Public - Call ahead,Dealership business hours,,,,,,1,,,Non-Networked,,GPS,40.026519,-75.633967,2020-06-09,47755,2023-02-15 22:45:41 UTC,P,,,2012-01-31,,,,,J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,false,,,,
ELEC,Peruzzi Nissan,165 Lincoln Hwy,,Fairless Hills,PA,19030,,215-943-6200,E,,Public - Call ahead,Dealership business hours,,,,,,1,,,Non-Networked,,200-9,40.182893,-74.86217,2020-06-09,47757,2023-02-15 22:45:41 UTC,P,,,2012-01-31,,,,,J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,false,,,,
ELEC,Colonial Nissan,117 Bustleton Pike,,Feasterville,PA,19053,,215-364-1100,E,,Public - Call ahead,Dealership business hours,,,,,,1,,,Non-Networked,,200-9,40.138619,-75.006859,2020-06-09,47759,2021-03-11 23:22:17 UTC,P,,,2012-01-31,,,,,J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,false,,,,
ELEC,Star Nissan,5200 State Route 30,,Greensburg,PA,15601,,724-834-6100,E,,Public - Call ahead,Dealership business hours,,,,,,1,,,Non-Networked,,200-9,40.302578,-79.503192,2020-06-09,47761,2023-02-15 22:45:41 UTC,P,,,2012-01-31,,,,,J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,false,,,,
ELEC,Faulkner Nissan,3925 Paxton St,,Harrisburg,PA,17111,,717-558-8220,E,,Public - Call ahead,Dealership business hours,,,,,,1,,,Non-Networked,,200-9,40.252987,-76.820183,2020-06-09,47763,2023-02-15 22:45:41 UTC,P,,,2012-01-31,,,,,J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,false,,,,
ELEC,Montrose Nissan,1455 N Hermitage Rd,,Hermitage,PA,16148,,724-962-1433,E,,Public - Call ahead,Dealership business hours,,,,,,1,,,Non-Networked,,GPS,41.252329,-80.451653,2020-06-09,47765,2021-03-11 23:22:17 UTC,P,,,2012-01-31,,,,,J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,false,,,,
ELEC,Mark Arbuckle Nissan,1080 Philadelphia St,,Indiana,PA,15701,,724-465-3100,E,,Public - Call ahead,Dealership business hours,,,,,,1,,,Non-Networked,,200-9,40.622852,-79.160508,2020-06-09,47767,2021-03-11 23:22:17 UTC,P,,,2012-01-31,,,,,J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,false,,,,
ELEC,Faulkner Nissan,900 Old York Rd,,Jenkintown,PA,19046,,215-887-8870,E,,Public - Call ahead,Dealership business hours,,,,,,1,,,Non-Networked,,GPS,40.10762929583178,-75.1241615423279,2020-06-09,47769,2023-02-15 22:45:41 UTC,P,,,2012-01-31,,,,,J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,false,,,,
ELEC,Maguire's Nissan - Lebanon,2001 Cumberland St,,Lebanon,PA,17042,,717-272-7671,E,,Public - Call ahead,Dealership business hours,,,,,,1,,,Non-Networked,,200-9,40.338996,-76.447073,2020-06-09,47771,2023-02-15 22:45:41 UTC,P,,,2012-01-31,,,,,J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,false,,,,
ELEC,Nissan 42 - Limerick,55 Autopark Blvd,,Limerick,PA,19468,,610-495-1856,E,,Public - Call ahead,Dealership business hours,,,,,,1,,,Non-Networked,,200-9,40.217505,-75.548137,2020-06-09,47773,2023-02-15 22:45:41 UTC,P,,,2012-01-31,,,,,J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,false,,,,
ELEC,Montgomeryville Nissan,991 Bethlehem Pike,Intersection of Route 309 and Stump Rd,Montgomeryville,PA,18936,,215-661-9300,E,,Public - Call ahead,Dealership business hours,,,,,,1,1,,Non-Networked,,GPS,40.225361,-75.232603,2022-03-07,47777,2023-02-14 15:54:11 UTC,P,,,2012-01-31,,,,,CHADEMO J1772 J1772COMBO,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,false,,,,
ELEC,Alexander Nissan,10 Alexander Dr,,Muncy,PA,17756,,570-546-4925,E,,Public - Call ahead,Dealership business hours,,,,,,1,,,Non-Networked,,GPS,41.247703,-76.833589,2020-06-09,47781,2023-02-15 22:45:41 UTC,P,,,2012-01-31,,,,,J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,false,,,,
ELEC,#1 Cochran Nissan,3355 William Penn Hwy,,Pittsburgh,PA,15235,,412-824-9020,E,,Public - Call ahead,Dealership business hours; for customer use only,,,,,,1,1,,Non-Networked,,200-9,40.431599,-79.814633,2020-06-09,47784,2023-02-15 22:45:41 UTC,P,,,2012-01-31,,,,,CHADEMO J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,true,,,,
ELEC,Bowser Nissan,1001 Clairton Blvd,At intersection of Route 51 and Lewis Run Rd,Pleasant Hills,PA,15236,,412-469-2100,E,,Public - Call ahead,Dealership business hours,,,,,,1,,,Non-Networked,,200-9,40.319868,-79.941664,2020-06-09,47786,2023-02-15 22:45:41 UTC,P,,,2012-01-31,,,,,J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,false,,,,
